Timestamp,Source MAC,Destination MAC,Source Port,Destination Port,Length
2024-03-06 12:42:13.036,00:00:00:00:00:03,ff:ff:ff:ff:ff:ff,1,4294967291,42
2024-03-06 12:42:13.038,00:00:00:00:00:05,00:00:00:00:00:02,2,1,42
2024-03-06 12:42:13.040,00:00:00:00:00:06,00:00:00:00:00:03,3,1,42
2024-03-06 12:42:13.041,00:00:00:00:00:04,00:00:00:00:00:01,3,1,42
2024-03-06 12:42:13.043,00:00:00:00:00:05,00:00:00:00:00:02,3,1,42
2024-03-06 12:42:13.045,00:00:00:00:00:06,00:00:00:00:00:03,3,2,42
2024-03-06 12:42:13.046,00:00:00:00:00:04,00:00:00:00:00:01,2,1,42
2024-03-06 12:42:13.047,00:00:00:00:00:05,00:00:00:00:00:02,1,3,42
2024-03-06 12:42:13.049,00:00:00:00:00:04,00:00:00:00:00:01,1,2,42
2024-03-06 12:42:13.050,00:00:00:00:00:06,00:00:00:00:00:03,1,2,42
2024-03-06 12:42:13.052,00:00:00:00:00:02,00:00:00:00:00:05,3,1,1512
2024-03-06 12:42:13.053,00:00:00:00:00:02,00:00:00:00:00:05,3,1,1512
2024-03-06 12:42:13.054,00:00:00:00:00:02,00:00:00:00:00:05,3,1,1512
2024-03-06 12:42:13.055,00:00:00:00:00:02,00:00:00:00:00:05,3,1,1512
2024-03-06 12:42:13.056,00:00:00:00:00:02,00:00:00:00:00:05,3,1,1512
2024-03-06 12:42:13.056,00:00:00:00:00:02,00:00:00:00:00:05,3,1,1512
2024-03-06 12:42:13.057,00:00:00:00:00:02,00:00:00:00:00:05,3,1,1512
2024-03-06 12:42:13.061,00:00:00:00:00:03,00:00:00:00:00:06,2,1,1512
2024-03-06 12:42:13.061,00:00:00:00:00:03,00:00:00:00:00:06,2,1,1512
2024-03-06 12:42:13.062,00:00:00:00:00:03,00:00:00:00:00:06,2,1,1512
2024-03-06 12:42:13.063,00:00:00:00:00:03,00:00:00:00:00:06,2,1,1512
2024-03-06 12:42:13.064,00:00:00:00:00:03,00:00:00:00:00:06,2,1,1512
2024-03-06 12:42:13.065,00:00:00:00:00:03,00:00:00:00:00:06,2,1,1512
2024-03-06 12:42:13.066,00:00:00:00:00:03,00:00:00:00:00:06,2,1,1512
2024-03-06 12:42:13.067,00:00:00:00:00:03,00:00:00:00:00:06,2,1,1512
2024-03-06 12:42:13.068,00:00:00:00:00:01,00:00:00:00:00:04,2,1,1512
2024-03-06 12:42:13.068,00:00:00:00:00:01,00:00:00:00:00:04,2,1,1512
2024-03-06 12:42:13.070,00:00:00:00:00:01,00:00:00:00:00:04,2,1,1512
2024-03-06 12:42:13.071,00:00:00:00:00:01,00:00:00:00:00:04,2,1,1512
2024-03-06 12:42:13.072,00:00:00:00:00:01,00:00:00:00:00:04,2,1,1512
2024-03-06 12:42:13.073,00:00:00:00:00:01,00:00:00:00:00:04,2,1,1512
2024-03-06 12:42:13.074,00:00:00:00:00:01,00:00:00:00:00:04,2,1,1512
2024-03-06 12:42:13.075,00:00:00:00:00:01,00:00:00:00:00:04,2,1,1512
2024-03-06 12:42:13.076,00:00:00:00:00:01,00:00:00:00:00:04,2,1,1512
2024-03-06 12:42:13.088,00:00:00:00:00:01,00:00:00:00:00:04,2,1,1512
2024-03-06 12:42:13.090,00:00:00:00:00:01,00:00:00:00:00:04,2,1,1512
2024-03-06 12:42:13.091,00:00:00:00:00:02,00:00:00:00:00:05,3,1,1512
2024-03-06 12:42:13.092,00:00:00:00:00:01,00:00:00:00:00:04,2,1,1512
2024-03-06 12:42:13.093,00:00:00:00:00:02,00:00:00:00:00:05,3,1,1512
2024-03-06 12:42:13.094,00:00:00:00:00:02,00:00:00:00:00:05,1,3,1512
2024-03-06 12:42:13.095,00:00:00:00:00:02,00:00:00:00:00:05,1,3,1512
2024-03-06 12:42:13.096,00:00:00:00:00:02,00:00:00:00:00:05,1,3,1512
2024-03-06 12:42:13.097,00:00:00:00:00:02,00:00:00:00:00:05,1,3,1512
2024-03-06 12:42:13.098,00:00:00:00:00:02,00:00:00:00:00:05,1,3,1512
2024-03-06 12:42:13.100,00:00:00:00:00:02,00:00:00:00:00:05,1,3,1512
2024-03-06 12:42:13.102,00:00:00:00:00:02,00:00:00:00:00:05,1,3,1512
2024-03-06 12:42:13.103,00:00:00:00:00:02,00:00:00:00:00:05,1,3,1512
2024-03-06 12:42:13.104,00:00:00:00:00:02,00:00:00:00:00:05,1,3,1512
2024-03-06 12:42:13.110,00:00:00:00:00:02,00:00:00:00:00:05,1,3,1512
2024-03-06 12:42:13.111,00:00:00:00:00:01,00:00:00:00:00:04,2,1,1512
2024-03-06 12:42:13.112,00:00:00:00:00:01,00:00:00:00:00:04,2,1,1512
2024-03-06 12:42:13.113,00:00:00:00:00:01,00:00:00:00:00:04,2,1,1512
2024-03-06 12:42:13.114,00:00:00:00:00:01,00:00:00:00:00:04,2,1,1512
2024-03-06 12:42:13.115,00:00:00:00:00:01,00:00:00:00:00:04,2,1,1512
2024-03-06 12:42:13.117,00:00:00:00:00:01,00:00:00:00:00:04,2,1,1512
2024-03-06 12:42:13.118,00:00:00:00:00:03,00:00:00:00:00:06,2,1,1512
2024-03-06 12:42:13.119,00:00:00:00:00:03,00:00:00:00:00:06,2,1,1512
2024-03-06 12:42:13.120,00:00:00:00:00:03,00:00:00:00:00:06,2,1,1512
2024-03-06 12:42:13.121,00:00:00:00:00:03,00:00:00:00:00:06,2,1,1512
2024-03-06 12:42:13.122,00:00:00:00:00:01,00:00:00:00:00:04,2,1,1512
2024-03-06 12:42:13.123,00:00:00:00:00:03,00:00:00:00:00:06,2,3,1512
2024-03-06 12:42:13.124,00:00:00:00:00:03,00:00:00:00:00:06,2,3,1512
2024-03-06 12:42:13.125,00:00:00:00:00:03,00:00:00:00:00:06,2,3,1512
2024-03-06 12:42:13.126,00:00:00:00:00:03,00:00:00:00:00:06,2,3,1512
2024-03-06 12:42:13.126,00:00:00:00:00:03,00:00:00:00:00:06,2,3,1512
2024-03-06 12:42:13.127,00:00:00:00:00:03,00:00:00:00:00:06,2,3,1512
2024-03-06 12:42:13.128,00:00:00:00:00:02,00:00:00:00:00:05,1,3,1512
2024-03-06 12:42:13.134,00:00:00:00:00:03,00:00:00:00:00:06,2,3,1512
2024-03-06 12:42:13.136,00:00:00:00:00:03,00:00:00:00:00:06,2,3,1512
2024-03-06 12:42:13.137,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.138,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.139,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.140,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.141,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.141,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.145,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.146,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.146,00:00:00:00:00:03,00:00:00:00:00:06,2,3,1512
2024-03-06 12:42:13.147,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.148,00:00:00:00:00:02,00:00:00:00:00:05,1,3,1512
2024-03-06 12:42:13.149,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.150,00:00:00:00:00:03,00:00:00:00:00:06,2,3,1512
2024-03-06 12:42:13.151,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.154,00:00:00:00:00:02,00:00:00:00:00:05,1,3,1512
2024-03-06 12:42:13.155,00:00:00:00:00:03,00:00:00:00:00:06,2,3,1512
2024-03-06 12:42:13.156,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.157,00:00:00:00:00:02,00:00:00:00:00:05,1,3,1512
2024-03-06 12:42:13.157,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.158,00:00:00:00:00:03,00:00:00:00:00:06,2,3,1512
2024-03-06 12:42:13.159,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.160,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.165,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.165,00:00:00:00:00:02,00:00:00:00:00:05,1,3,1512
2024-03-06 12:42:13.166,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.167,00:00:00:00:00:02,00:00:00:00:00:05,1,3,1512
2024-03-06 12:42:13.168,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.169,00:00:00:00:00:02,00:00:00:00:00:05,1,2,1512
2024-03-06 12:42:13.169,00:00:00:00:00:02,00:00:00:00:00:05,1,2,1512
2024-03-06 12:42:13.170,00:00:00:00:00:02,00:00:00:00:00:05,1,2,1512
2024-03-06 12:42:13.171,00:00:00:00:00:02,00:00:00:00:00:05,1,2,1512
2024-03-06 12:42:13.172,00:00:00:00:00:02,00:00:00:00:00:05,1,2,1512
2024-03-06 12:42:13.172,00:00:00:00:00:02,00:00:00:00:00:05,1,2,1512
2024-03-06 12:42:13.173,00:00:00:00:00:02,00:00:00:00:00:05,1,2,1512
2024-03-06 12:42:13.174,00:00:00:00:00:02,00:00:00:00:00:05,1,2,1512
2024-03-06 12:42:13.175,00:00:00:00:00:02,00:00:00:00:00:05,1,3,1512
2024-03-06 12:42:13.176,00:00:00:00:00:03,00:00:00:00:00:06,2,3,1512
2024-03-06 12:42:13.176,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.181,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.182,00:00:00:00:00:03,00:00:00:00:00:06,2,3,1512
2024-03-06 12:42:13.183,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.183,00:00:00:00:00:03,00:00:00:00:00:06,2,3,1512
2024-03-06 12:42:13.184,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.185,00:00:00:00:00:01,00:00:00:00:00:04,1,2,1512
2024-03-06 12:42:13.186,00:00:00:00:00:02,00:00:00:00:00:05,1,2,1512
2024-03-06 12:42:13.187,00:00:00:00:00:02,00:00:00:00:00:05,1,2,1512
2024-03-06 12:42:13.187,00:00:00:00:00:02,00:00:00:00:00:05,1,2,1512
2024-03-06 12:42:13.188,00:00:00:00:00:02,00:00:00:00:00:05,1,2,1512
2024-03-06 12:42:13.189,00:00:00:00:00:02,00:00:00:00:00:05,1,2,1512
2024-03-06 12:42:13.190,00:00:00:00:00:03,00:00:00:00:00:06,1,3,1512
2024-03-06 12:42:13.190,00:00:00:00:00:03,00:00:00:00:00:06,1,3,1512
2024-03-06 12:42:13.191,00:00:00:00:00:03,00:00:00:00:00:06,1,3,1512
